data,ticker,preco_fechamento_ajustado,volume_negociado,dy
2015-03-31,ABEV3,14.0,156814881.0,0.04476964769647697
2015-04-30,ABEV3,14.37,174215706.0,0.036747624076029564
2015-05-31,ABEV3,13.96,356731232.0,0.03782608695652174
2015-06-30,ABEV3,14.56,370093780.0,0.04167539267015707
2015-07-31,ABEV3,14.84,255624057.0,0.032682425488180886
2015-08-31,ABEV3,14.55,424092883.0,0.033315872184389736
2015-09-30,ABEV3,14.92,240243710.0,0.04047373841400618
2015-10-31,ABEV3,14.67,228005424.0,0.029649030906233633
2015-11-30,ABEV3,14.32,744604630.0,0.030364806866952792
2015-12-31,ABEV3,13.81,217975101.0,0.03282913165266106
2016-01-31,ABEV3,14.44,380775815.0,0.03322615219721329
2016-02-29,ABEV3,13.73,271527092.0,0.030045351473922902
2016-03-31,ABEV3,14.65,314754852.0,0.0281615302869288
2016-04-30,ABEV3,15.09,461473733.0,0.02733367715317174
2016-05-31,ABEV3,14.87,415126791.0,0.022501308215593926
2016-06-30,ABEV3,14.83,291170434.0,0.022572178477690285
2016-07-31,ABEV3,14.73,613805221.0,0.029787234042553186
2016-08-31,ABEV3,15.04,338000332.0,0.029181865554976545
2016-09-30,ABEV3,15.53,173780407.0,0.020686175580222
2016-10-31,ABEV3,14.75,332650611.0,0.030270844397238456
2016-11-30,ABEV3,13.55,351872295.0,0.03323615160349855
2016-12-31,ABEV3,13.11,141594505.0,0.039024390243902446
2017-01-31,ABEV3,13.81,120859968.0,0.03372093023255814
2017-02-28,ABEV3,14.32,231879977.0,0.03251121076233184
2017-03-31,ABEV3,14.64,224367805.0,0.031798245614035096
2017-04-30,ABEV3,14.66,191869992.0,0.03176341730558598
2017-05-31,ABEV3,15.02,287321166.0,0.03099946552645644
2017-06-30,ABEV3,14.83,127741074.0,0.040415073730202075
2017-07-31,ABEV3,15.51,292774206.0,0.0318537859007833
2017-08-31,ABEV3,16.08,222493426.0,0.030715005035246733
2017-09-30,ABEV3,17.04,277743699.0,0.028992395437262362
2017-10-31,ABEV3,16.92,301583594.0,0.0215311004784689
